name,fqdn,ip,mac,image,state,_id
openshift,openshift.blue.k.e2e.bos.redhat.com,10.19.114.58,00:50:56:1f:58:58,rhel75,init,93df3e6409af4a1082791083a972c40b
winnode01,winnode01.blue.k.e2e.bos.redhat.com,10.19.114.59,00:50:56:1f:59:59,win1709,init,76c81a058bec45aaafa41b8e223b0c9f
openshift,openshift.green.k.e2e.bos.redhat.com,10.19.114.60,00:50:56:1f:60:60,rhel75,init,68bcfc5b180e49f5ae086c7bd0b71302
winnode01,winnode01.green.k.e2e.bos.redhat.com,10.19.114.61,00:50:56:1f:61:61,win1709,init,e3809df888d7489d9f4b432909ae9f7a
openshift,openshift.red.k.e2e.bos.redhat.com,10.19.114.62,00:50:56:1f:62:62,rhel75,init,2c45d78b3aa345bdbe5bdb4d7651b10f
winnode01,winnode01.red.k.e2e.bos.redhat.com,10.19.114.63,00:50:56:1f:63:63,win1709,init,e963776fbf2c412994d17e5c6319e04c
openshift,openshift.star.k.e2e.bos.redhat.com,10.19.114.64,00:50:56:1f:64:64,rhel75,init,fe678650a9104d13aced00f03497048c
winnode01,winnode01.star.k.e2e.bos.redhat.com,10.19.114.65,00:50:56:1f:65:65,win1709,init,83a052b7ca4e40faa1f471b1a870d4b4
openshift,openshift.light.k.e2e.bos.redhat.com,10.19.114.66,00:50:56:1f:66:66,rhel75,init,86fe2cc3775649c193909f7870575102
winnode01,winnode01.light.k.e2e.bos.redhat.com,10.19.114.67,00:50:56:1f:67:67,win1709,init,5186066f4cd348c4884e0ff23b9ae0ef
bastion,bastion.bright.k.e2e.bos.redhat.com,10.19.114.68,00:50:56:1f:68:68,rhel75,init,e899687a7af24cba88978f88e852d40c
master,master.bright.k.e2e.bos.redhat.com,10.19.114.69,00:50:56:1f:69:69,rhel75,init,1b4af559a102419281dfffd8356134c9
node01,node01.bright.k.e2e.bos.redhat.com,10.19.114.70,00:50:56:1f:70:70,rhel75,init,cb9bbadad5a6420f9fef39e8704a5653
node02,node02.bright.k.e2e.bos.redhat.com,10.19.114.71,00:50:56:1f:71:71,rhel75,init,c6507cae43994452a60c664d6ad1693a
winnode01,winnode01.bright.k.e2e.bos.redhat.com,10.19.114.72,00:50:56:1f:72:72,win1709,init,0cabfb2805a747928b9fba1d46274b23
winnode02,winnode02.bright.k.e2e.bos.redhat.com,10.19.114.73,00:50:56:1f:73:73,win1709,init,8a873217cdb647cdb59c6db2327f55b4
